time,plastic,non metalic minerals,chemical,metal 1,metal 2,metal 3,total_demand,wind_output,pv_generation,,wind_output2,pv_generation2
2/3/2019 14:00,0.4646,998.676843076926,4.334,233.5164,1.34E-263,362.1168,1599.10864307692,130.792461468731,1.79032944617001,,130792.461468731,1790.32944617001
2/3/2019 15:00,0.78995,999.946138901102,1.71079999999999,236.715199999999,8.35E-265,362.1168,1601.2788889011,153.603062111834,0.951985917032598,,153603.062111834,951.985917032598
2/3/2019 16:00,0.6041,1001.21543472527,2.2811,239.914,5.22E-266,377.8611,1621.87573472527,166.234614319091,0.200546671187683,,166234.614319091,200.546671187683
2/3/2019 17:00,0.8363,1002.48473054945,1.5968,238.634419999999,3.26E-267,309.6361,1553.18835054945,211.238105115907,0.0424638690339292,,211238.105115907,42.4638690339292
2/3/2019 18:00,0.6041,1003.75402637362,2.9654,180.415479999999,2.04E-268,272.8996,1460.63860637362,243.873439380941,0,,243873.439380941,-3.42
2/3/2019 19:00,0.3716,1005.0233221978,3.7637,73.573675,1.27E-269,272.8996,1355.6318971978,250,0,,250000,-3.42
2/3/2019 20:00,3.3453,1006.29261802197,1.9389,86.369,7.96E-271,272.8996,1370.84541802197,250,0,,250000,-3.42
2/3/2019 21:00,1.2081,1007.56191384615,2.6232,95.9656,4.98E-272,272.8996,1380.25841384615,242.864315733367,0,,242864.315733367,-3.42
2/3/2019 22:00,0.4646,1008.83120967033,1.8248,79.9714,3.11E-273,272.8996,1363.99160967033,213.649847922745,0,,213649.847922745,-3.42
2/3/2019 23:00,0.5576,1010.1005054945,4.5621,60.7783,1.94E-274,272.8996,1348.8981054945,194.859419709782,0,,194859.419709782,-3.42
2/4/2019 0:00,0.4646,1011.36980131868,2.3951,60.7783,1.21E-275,272.8996,1347.90740131868,164.791713978874,0,,164791.713978874,-3.42
2/4/2019 1:00,0.3716,1012.63909714285,2.8513,60.7783,7.59E-277,272.8996,1349.53989714285,141.190091673638,0,,141190.091673638,-3.42
2/4/2019 2:00,0.4646,1013.90839296703,2.2811,67.176,4.75E-278,272.8996,1356.72969296703,113.919739925097,0,,113919.739925097,-3.42
2/4/2019 3:00,0.6506,1015.17768879121,3.99179999999999,63.9772,2.97E-279,272.8996,1356.6968887912,93.1446726293949,0,,93144.6726293949,-3.42
2/4/2019 4:00,0.5111,1016.44698461538,2.9654,60.7783,1.85E-280,272.8996,1353.60138461538,181.317776495117,0,,181317.776495117,-3.42
2/4/2019 5:00,0.4646,1017.71628043956,2.62319999999999,57.5794,1.16E-281,272.8996,1351.28308043956,229.996785682265,0,,229996.785682265,-3.42
2/4/2019 6:00,0.6506,1018.98557626373,1.8248,57.5794,7.24E-283,267.6515,1346.69187626373,248.803232094242,0,,248803.232094242,-3.42
2/4/2019 7:00,0.4646,1020.25487208791,3.9919,79.9713,4.53E-284,272.8996,1377.58227208791,239.776704672916,0,,239776.704672916,-3.42
2/4/2019 8:00,2.8808,1021.52416791209,2.9655,73.5736,2.83E-285,388.3571,1489.30116791209,205.982055121383,0.154344430454122,,205982.055121383,154.344430454122
2/4/2019 9:00,3.1595,1022.79346373626,1.71079999999999,89.5679,1.77E-286,299.1399,1416.37156373626,168.414608783145,3.5285600916881,,168414.608783145,3528.5600916881
